codigo sap,nombre del equipo,numero de rodamiento lado acople,numero de acople aldo ventilador,diametro ventilador,equipo,potencia,rpm,area
138226,Troceadora 2 TB,6319,6314,16,MOTOR ELECTRICO,300,1785,EXTRACCION
137890,Bomba de vacío del tacho # 7 ,6311,6211,8” ,MOTOR ELECTRICO,30 HP ,1765,RA
137827,Motor bomba  Rotoclon #1 Secadora  Refinería ,6311 zz,6211 zz,"6"" plastico",MOTOR ELECTRICO,25 Hp ,3545,RA
137812,Ventilador ambiental Centrífuga segunda ,6206,6205,"7""",MOTOR ELECTRICO,"373(5,0)kw",1750,RA
137664,Bomba Bypass,6308,6208,6,MOTOR ELECTRICO,10,1762,EXTRACCION
137641,Bba bypass TB,6308,6208,9,MOTOR ELECTRICO,10,1762,EXTRACCION
137623,Sin Fin Rastra de Bagacillo T.B,6309,6209,"8""",MOTOR ELECTRICO,20,1770,EXTRACCION
137502,Mesa 1 TB,6311,6211,"9""",MOTOR ELECTRICO,40,1780,EXTRACCION
137364,Elevador azúcar húmeda cent fabrica,6311,6211,"8""",MOTOR ELECTRICO,25HP,1775,RA
137364,Elevador azúcar húmeda cent. Fabrica ,6311,6211,"8""",MOTOR ELECTRICO,25HP,1775,RA
137362,Motor movimiento sinfín Elevador #2 asia criba linia  #1 Oga,6309zz ,6209 zz,"7 "" De plastico",MOTOR ELECTRICO,20,1775,RA
137358,Bba lubricación chumaceras farval 2,6205,6203,6,MOTOR ELECTRICO,2,1755,EXTRACCION
137338,Bomba de lubricación red planetario Mol. 2,6308,6207,4,MOTOR ELECTRICO,12.5,1765,EXTRACCION
137335,Bba lubricación molino 2,6308,6207,6,MOTOR ELECTRICO,12.5,1765,EXTRACCION
137329,Bba Asepsia 3 TB,6313,6313,"6""",MOTOR ELECTRICO,60,3555,EXTRACCION
137328,"Bba Aux. Asepsia TA, TB",6313,6313,"6""",MOTOR ELECTRICO,60,3555,EXTRACCION
137328,"Bba Asepsia Aux. TA, TB",6313,6313,"6""",MOTOR ELECTRICO,60,3555,EXTRACCION
137327,Bba de asepsia 1 TA,6313,6313,"6""",MOTOR ELECTRICO,60,3555,EXTRACCION
137326,Sin fin bagacillo TB,6309,6209,"8""",MOTOR ELECTRICO,20,1770,EXTRACCION
137325,Sin fin bagacillo TA,6309,6209,6,MOTOR ELECTRICO,15 KW,1770,EXTRACCION
137320,Conductor intermedio 2 tb,6313,6312,8 pulgadas ,MOTOR ELECTRICO,75,1780,EXTRACCION
137319,Conductor intermedio 2 tb ,6313,6312,8,MOTOR ELECTRICO,75,1780,EXTRACCION
137306,Movimiento vibratorio azúcar húmedo fabrica ,6310,6310,"9""",MOTOR ELECTRICO,15HP,1200,RA
137306,Movimiento vibratorio azúcar húmedo fabrica ,6310,6310,"9""",MOTOR ELECTRICO,15HP,1200,RA
137298,Motor movimiento Elevador #2 Azúcar  seca Refineria ,6311zz ,6211 zz,"8 "" de plastico.",MOTOR ELECTRICO,30 Hp,1775,RA
137297,Motor  sin fin Interno Secadora   Refinería ,6309zz ,6209 zz,"8""  plastico",MOTOR ELECTRICO,20 Hp,1768,RA
137296,Motor movimiento  Enfriadora  refinería ,6314 zz,6314 zz,"11""  de plastico",MOTOR ELECTRICO,60 Hp,1775,RA
137073,Bba inyecion a melador E4,6220,6220,40,MOTOR ELECTRICO,250,1190,TRATAMIENTO
136967,Ventilador forzado secadora 1A,6206,6206,"6""",MOTOR ELECTRICO,5HP,1735,RA
136967,Ventilador forzado secadora 1A,6206,6206,"6""",MOTOR ELECTRICO,5HP,1735,RA
136945,Condensado E1,6311,6309,15 CM,MOTOR ELECTRICO,15HP,1115,TRATAMIENTO
136945,Condesando E1,6311,6309,15CM,MOTOR ELECTRICO,15,1115,TRATAMIENTO
