codigo sap,numero TR,NOMBRE DE EQUIPO,POTENCIA ,MARCA,¿Hay fuga en los busshing de Alta Tension?,¿Hay fuga en los busshing de Baja Tension?,¿El transformador tiene puesta a tierra la carcaza?,Aislamiento(EPR/XLPE/DLO) del Lado Primario (alta Tension),Cables por Fase (Primario),Cables por Fase (Secundario),PCB´S,ENFRIAMIENTO,EQUIPO QUE LE DIO MANTENIMIENTO
108898,2709,TRANSFORMADOR CALDERA 2,SIN PLACA,Transformer Technologies,NO,NO,SI,2 AWG ,1,6/FASE 350MCM,ND,OA,TRANSFORMADOR
108898,2709,TRANSFORMADOR CALDERA 2,SIN PLACA,Transformer Technologies,NO,NO,SI,2 AWG -,1,-,ND,OA,TRANSFORMADOR
108770,2739,TRANSFORMADOR ENVASADO #3,2.2,Virginia Transformer Corp,NO,NO,No,1/0 -,1,-,ND,ONAN/ONAF,TRANSFORMADOR
108768,2737,TRANSFORMADOR ENVASADO FABRICA,2,Virginia Transformer Corp,NO,NO,SI,1/0 -,1,-,ND,OA/FA,TRANSFORMADOR
108767,2736,TRANSFORMADOR ENVASADO #2,1.5,Virginia Transformer Corp,NO,NO,No,2 AWG,1,-,ND,OA/FA,TRANSFORMADOR
108766,2733,TRANSFORMADOR REFINERIA,1.5,Virginia Transformer Corp,NO,NO,SI,2 AWG -,1,-,ND,OA/FA,TRANSFORMADOR
108278,2540,TRANSFORMADOR PICADORAS TA,9,Virginia Transformer Corp,NO,NO,SI,250KCM EPR,2,-,ND,ONAN/ONAN - ONAF/ONAF,TRANSFORMADOR
108276,2530,TRANSFORMADOR BARRA PICADORA E HIDRAULICOS TB,9,Virginia Transformer Corp,NO,NO,SI,250KCM EPR,2,-,ND,ONAN/ONAN/ONAF/ONAF,TRANSFORMADOR
108275,2529,TRANSFORMADOR PRINCIPAL MOLINOS TB,10,Transformer Technologies,NO,NO,SI,350KCM EPR,2,5,ND,OA/FA,TRANSFORMADOR
108274,2528,TRANSFORMADOR MOLINOS E HIDRAULICOS  TA,10,Transformer Technologies,NO,NO,SI,350KCM  EPR,2,5,ND,OA/FA,TRANSFORMADOR
108272,5720,TRANSFORMADOR AUXILIARES TA,1.5,WEG,NO,NO,SI,350KCM EPR,1,-,ND,ONAN/ONAF/ONAF,TRANSFORMADOR
108260,5752,TRANSFOMADOR MOLINO  5 TB,45870,Weg,NO,NO,SI,250KCM XLPE,1,4,ND,ONAN,TRANSFORMADOR
108258,5750,TRANSFORMADOR MOLINO 3 TB,1.8,Weg,NO,NO,SI,250KCM XLPE,1,4,ND,ONAN,TRANSFORMADOR
108257,5604,TRANSFORMADOR MOLINO #3 TA,1.8,Weg,NO,NO,SI,XLPE,1,4,ND,ONAN,TRANSFORMADOR
108256,5748,TRANSFORMADOR MOLINO #4 TA,1.8,WEG,NO,NO,No,250KCM  XLPE,1,4,ND,ONAN,TRANSFORMADOR
108254,5747,TRANSFORMADOR MOLINO #5 TA,1.25,Weg,NO,NO,No,XLPE,1,4,ND,ONAN,TRANSFORMADOR
